Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
"Daffodils, Jonquils, Paperwhites, or Narcissus",6,Narcissus spp.,sun,See note regarding cool season annuals,The genus Narcissus encompasses dozens of species and hundreds if not thousands of cultivars. One or more cultivars are adapted to almost every region of the state. Flower stalks arise from tufts of linear roundish leaves. Flowers vary from single peony-like to trumpet-shapes subtended by a ring of petals. Others are borne as several flowers on the same stalk as in Paperwhite Narcissus.,"Annual, cool season annual, perennial, geophyte","White, yellow, red-pink to orange-pink in trumpets of some cultivar, effective as cut flowers","Spring, winter","Not ornamental, deadhead",15,8,8,Foliage dies down in summer; check with your local extension agent or professional nursery personnel to determine the best cultivars for your region.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Bluebonnet,6,Lupinus texensis,"sun, partial sun",See note regarding cool season annuals,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.",Cool season annual,"Blue, maroon, pink, and white",Spring,"Not ornamental, allow some to develop if reseeding is desired",15,21,None,Tolerate most well drained soils; use scarified seed to maximize the seedlings during the first year after sowing.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Dutch Hyacinth,6,Hyacinthus orientalis,sun,See note regarding cool season annuals,"Dutch Hyacinth are bred for large dense flower racemes of purple, blue, pink, or white fragrant flowers. Many of the species type Dutch Hyacinth are only effective as cool season annuals from chilled bulbs in most of Texas. The smaller more loose raceme type Roman Hyacinth or French Roman Hyacinth (Hyacinthus orientalis var. albus) is better adapted and can be naturalized in Texas.","Annual, cool season annual, perennial, geophyte","Purple, blue, pink, or white, in dense racmes 6 inch to 10 inch tall, highly fragrant",Spring,Not ornamental deadhead,8,6,8,Taxa in the trade are mostly the species type and the better adapted H. orientalis var. albus is difficult to locate in large numbers.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Lanceleaf Coreopsis,6,Coreopsis lanceolata,"sun, partial sun",10,"Lanceleaf Coreopsis is an old-fashion wildflower that has found popularity as a herbaceous perennial in modern landscapes. Present from late winter as a compact rosette of leaves, the plant sends up slender flowering stalks with yellow to yellow-brown disk flowers and showy yellow ray flowers from spring to early summer, then sporadically till frost. Improved cultivars stay more compact and / or have improved flower characteristics.",Perennial,"Yellow ray flowers, yellow to red-brown disk flowers","Spring, summer","Achenes, not ornamental, deadhead to prolong flowering",7,7,9,Can be invasive on good sites; older types tend to be floppy growers; avoid poorly drained locations and excess fertilizer.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Barbados Cherry,6,Malpighia glabra,"sun, partial sun",10,"Barbados Cherry is a dense twiggy multi-stem small to medium size evergreen shrub. The small medium to dark green leaves, densely branching fine textured stems, and suckering make this plant a good substitute for Boxwoods (Buxus spp.) for formal sheared hedges in the southern half of Texas. The diminutive flowers are fragrant and mildly showy. In warmer parts of the region, small red drupes can be of interest. This shrub has fairly rapid growth, good tolerance to heat, drought, and some salt exposure once established.","Shrub, small shrub, medium shrub, tropical","White-pink to dark pink, 0.5 inch to 0.75 inch in diameter, in 3 to 7-flowered umbels.","Spring, summer, fall","Small 0.5 inch diameter red drupe, resembles a cherry,",72,72,7,"Scales, nematodes, white flies, and spider mites are occasional problems, but cold tolerance is the biggest limiting factor.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Rough-Leaf Dogwood,6,Cornus drummondii,"sun, partial sun",10,"Rough-Leaf Dogwood is a thicket-forming deciduous shrub or small tree native to the central and eastern portions of North America, including Central and East Texas. It is usually encountered in natural landscapes, but could be effectively grown in transition landscapes, for naturalizing, or as a seasonal screen.","Medium shrub, large shrub, small tree",White,Spring,White berries in summer/fall,210,300,7,"Not as showy as C. florida, but better adapted to heat, drought, and high pH soils.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Dwarf Pampas Grass,6,Cortaderia selloana,"sun, partial sun",10,"Dwarf Pampas Grass is a smaller version of the species type, that is about half to two-thirds the size. Useful near parking lots and sidewalks to allow a better range of vision.","Perennial, grasses",White,Summer,"Dried plumes, somewhat smaller than the species type",66,66,8,Similar to the species type in cultural requirements.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Dwarf Pomegranate,6,Punica granatum var. nana,"sun, partial sun",10,Dwarf Pomegranate is a more refined version of the species type; maturing at 2 ft to 4 ft in height and generally staying more compact. Single red-orange flowers and prolific fruit set are added features. Fall color can sometimes be a decent yellow. A better choice for small scale landscapes than the species type.,"Perennial, shrub, small shrub, medium shrub",Red-orange,"Spring, summer, fall","Red-orange, edible pulp",30,30,None,"Similar to the species in site requirements, but perhaps somewhat more cold hardy. Survived several years as a herbaceous perennial in central Tennessee (z. 6b) before being killed.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Giant Turk's Cap,6,Malvaviscus arboreus var. mexicanus,"sun, partial sun",10,Giant Turk's Cap is a subtropical perennial or woody shrub often planted as a summer annual in cooler regions. The dark green leaves contrast with the large drooping red blossoms.,"Warm season annual, perennial, small shrub, medium shrub, tropical","Bright red, rarely white","Spring, summer, fall","Red berry-like fruit, wildlife food",96,20,9,"Less cold and shade tolerant than M. arboreus var. drummondii, but leaves do not distort in sunny locations.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Mexican Plum,6,Prunus mexicana,sun,10,"Mexican Plum is a handsome native small deciduous tree with a rounded crown. Trees are valued most for their showy fragrant white spring flowers. The small yellow plums are edible. This species is a good substitute in Texas for Crabapples (Malus spp.) which have troubles with cotton root rot and inaddequate winter chilling. Plants tend to be serviceable, but rather bland when not in flower. Old trunks may develop an interesting exfoliation pattern.","Shrub, large shrub, tree, small tree","White, somtimes flushed pink, in showy clusters",None,"Small plums, yellow-red to yellow-purple with a waxy bloom; edible.",210,270,10,"Texas native that can persist on minimal inputs. Fruit are an important wildlife food. Sometimes used as a rootstock for commercial Prunus clones of other species. Cotton root rot resistant, but needs well drained soils.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Parsley Hawthorn,6,Crataegus marshallii,"sun, partial sun",10,"Parsley Hawthorn is a small single to multiple trunk tree with a strongly stratified branching habit. Parsley-like bluish green leaves, white spring flowers, red-orange fruit, and exfoliating bark are all assets. This is native Texas species found along woodland edges.","Large shrub, tree, small tree","Small, white, sometimes flushed pink, showy",Spring,"Small red-orange pomes, mildly showy",210,240,9,"Habit is similar to that of Washington Hawthorn. Although more heat tolerant than Washington Hawthorn, Parsley Hawthorn is equally susceptible to cedar-apple rust.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Washington Hawthorn,6,Crataegus phaenopyrum,"sun, partial sun",10,"Washington Hawthorn is an Eastern US native deciduous small tree that matures to form a flat-topped canopy. Leaves are very similar to those of Parsley Hawthorn (Crataegus marshallii) but tend to be a darker glossier green and which may develop into a good yellow to orange-red fall color. The white flowers, and in particular the red-orange fruit, are showy.","Shrub, large shrub, tree, small tree","White, perfect, showy, malodorous",Spring,Pendent clusters of small bright orange-red to red pomes,240,132,9,"Fairly urban tolerant, but suffers in the heat and low chilling hours of USDA zone 8. Spider mites, fireblight, and cedar-apple rust can be problems.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Hawthorn,6,Crataegus spp.,"sun, partial sun",10,"Hawthorns are a genus of native and introduced small trees with attractive white spring flowers and usually a refined single to multi-stemmed short habit that fits well under power lines and in smaller urban lots. Unfortunately, a number of diseases such as cedar apple rust and fire blight can be damaging. Some species have thorns, others are nearly unarmed. Most produce attractive summer to autumn fruit, typically red to orange, which is edible on some species.","Large shrub, small tree","White to pink, mostly white",Spring,"Small pome-like drupe, resembles a miniature apple, yellow, orange, or red",210,210,None,"A taxonomically confused genus with 7 to 25 species native to Texas, depending upon which authority to which you subscribe; many species with landscape potential for Texas, representing an untapped resource.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Bush Cinquefoil,6,Potentilla fruticosa,"sun, partial sun",10,"Bush Cinquefoil is a fine textured small evergreen shrub forming an irregular dense rounded mound of foliage. This plant is extensively utilized as a multi-purpose shrub for low input landscapes throughout cool temperate regions of the world. The dark glossy green leaves provide an excellent foil for the small white, yellow, orange, pink, or red-pink flowers. A shreddy bark develops on older specimens.","Groundcover, shrub, small shrub","Small whie, yellow, orange, pink, or red-pink single flowers over an extended season","Spring, summer",Small insignficant tiny persistent achene,30,48,5,Plants tend to languish in the heat of USDA 7 and are not suitable to zone 8. Site tolerance is otherwise adaptable. Best reserved for cooler high elevation gardens in the western portion of our region or extreme northern fringes of our region. This is a very cold tolerant species with correct cultivar selection to USDA zone 2.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Purslane,6,Portulaca oleracea,"sun, partial sun",10,"A tropical perennial groundcover used as a summer annual in much of Texas. Similar in general habit to Rose Moss (Portulaca grandiflora), but somewhat more vigorous and coarse textured. Succulent foliage is intermingled with open cup to saucer-like flowers in a range of colors. Good candidate as a seasonal groundcover, bedding plant, container plant, or hanging basket.","Transition season annual, warm season annual","White, yellow, red, pink, purple, salmon, orange, bicolors","Spring, summer, fall",Not ornamental,8,18,None,"Excellent heat tolerant plant with few problems, flowers tend to close in heat of the day; can become a noxious weed on some sites.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Callery Pear,6,Pyrus calleryana,sun,10,"Callery Pears are durable small to medium size trees with tear-drop shaped crowns of dark glossy green foliage. Many cultivars develop good red to purple fall color and all have attractive white spring flowers. Many cultivars are highly adapted to Texas landscapes, with seedlings sometimes becoming invasive weeds. The fruit of this species is small and inedible and seldom causes maintenance problems in landscapes. Inaddequate chilling and summer heat stress sometimes ruins subsequent spring flowering.","Tree, small tree, medium tree","White, en masse, very attractive at times, inaddequate chilling can cause sproadic emergence",Spring,"Small brown, inedible, pear",420,300,8,"A highly variable species in terms of cold tolerance and chilling requirements, some clones are hardy to USDA zone 4b while others are hardy only to 6; likewise some individuals are tolerant of heat in zone 9, while other clones are not vigorous in zones warmer than USDA zone 7; choose your cultivar carefully; the most popular clone, P. calleryana 'Bradford' is highly susceptible to crown splitting in wind, snow, or ice loads with age; suceptibility to fireblight is variable within the species.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Nellie R. Stevens Holly,6,Ilex,"sun, partial sun",10,"Ilex x 'Nellie R. Stevens' is a large dense shrub or small tree with an upright oval crown. This female clone is valued for its dark glossy green foliage and masses of bright red berries in autumn and winter. This clone is parthenocarpic, setting some fruit without a male pollenator.","Shrub, large shrub, tree, small tree","Light green, inconspicuous.",Spring,Bright red berry-like fruit are a primary fall / winter feature,240,78,6,"While Ilex cornuta is one of the parental species in this hybrid clone, Nellie R. Stevens Holly is not quite as heat or drought tolerant and tends to develop foliar chlorosis on neutral to high pH soils. On the up side it is cold hardy into USDA zone 6b with protection from drying winds.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Monterey Oak or Mexican White Oak,6,Quercus polymorpha,sun,10,"Monterey Oak is a popular new species to the Texas nursery trade. This medium to large, 35 ft to 45 ft(60 ft), upright oval to rounded tree has handsome but highly variable semi-evergreen 3 inch to 5 inch long leaves. Leaves are green to blue-green and the trees are adapted to a wide range of soils and climates. It makes a nice shade, street, or park tree.","Tree, medium tree, large tree","Green, catkins, not showy",Spring,Acorns,480,390,10,Nice up-and-coming tree. Use on well drained sites. Tolerates more humidity than Lacey Oak (Quercus laceyi). Readily hybridizes with Loquat Oak (Quercus rysophylla). Plant on well drained soils.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Foster's Holly,6,Ilex x attenuata,"sun, partial sun",10,Ilex x attenuata 'Fosteri' is a medium textured evergreen holly with a narrow conical crown. The dark glossy green foliage contrasts nicely with the medium size red berries. This hybrid holly is a result of a cross between Ilex opaca x Ilex cassine. With proper siting it can be used into USDA zone 6b.,"Shrub, medium shrub, large shrub, tree, small tree","Small green, inconspicuous",Spring,Bright red fruit are a fall / winter asset,240,78,6,"Generally tough holly that can provide a narrower crown than some of the species. Best in a moist acidic soil, but the species can survive in neutral to slightly alkaline soils that were regularly droughty.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinkapin Oak,6,Quercus muehlenbergii,sun,10,Chinkapin Oak is an overlooked medium to large deciduous shade tree suitable for use in much of Texas. It is native to portions of Texas and can tolerate a range of soils and exposures including those of limestone origin. Seldom troubled by diseases or pests.,"Medium tree, large tree","Green, monoecious, males in catkins",Spring,Acorns,660,660,10,Tree destine to increase in popularity; good for the Panhandle region.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Japanese Flowering Quince,6,Chaenomeles japonica,"sun, partial sun",10,Japanese Quince makes a small to medium size irregularly rounded spreading deciduous shrub. Valued most for its spectacular spring flowering effect. The dense twiggy mass of thorny branches can make pruning and removal of debris difficult.,"Small shrub, medium shrub","Red, pink, white",Spring,"Knobby apple-like or pear-like pome, edible",30,36,6,"Adaptable to much of Texas, but more vigorous in the northern half.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Flowering Quince,6,Chaenomeles speciosa,"sun, partial sun",10,Common Flowering Quince is a suckering multi-stem deciduous shrub with an upright to rounded mound-like crown. The thorny branches are covered in spring with axillary clusters of apple-blossom-like flowers. Bloom is best in  North Texas as sporadic blooming tends to occur throughout the winter in Central and South Texas.,"Small shrub, medium shrub","Red, pink, white, salmon, orange",Spring,"Knobby apple-like or pear-like pome, edible",48,48,8,"Adaptable shrub, perhaps more commonly encountered in Texas in the form of Chaenomeles speciosa 'Texas Scarlet' or the hyrbid species, Chaenomeles x superba, for which C. speciosa is one of the parents.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Yaupon,6,Ilex vomitoria,"sun, partial sun",10,Ilex vomitoria is probably the most versatile evergreen holly for general use in Texas. This native holly has been selected for clones ranging in size and shape from small green meatballs to rocket-like columnar or weeping forms. Female clones have been selectd for outstanding red fall and winter fruit that contrast with the dark gray-green foliage.,"Shrub, small shrub, medium shrub, large shrub, tree, small tree, topiary","Light green, inconspicuous",Spring,"Glossy red, ornage, or pale yellow fruit are a primary fall / winter feature",70,120,6,"Likely the most heat, drought, and alkaline soil tolerant of the evergreen hollies. Yaupon can also tolerate temporarily soggy soils. Branches can be brittle during shipping; few insect or disease pests, put leaf rollers and scale insects are occasional problems.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Bur Oak,6,Quercus macrocarpa,sun,10,"Bur Oaks are large deciduous trees native to several portions of Texas. Bur Oaks are fairly rapid growers, compared to other oaks, and can be used as large shade trees for larger residential sites or parks. An upright rounded crown is formed above a short stout trunk, the wood is sold as white oak.",Large tree,"Green, catkins and globose",Spring,"Huge acorns, to 2 inch long",840,600,9,"Very durable, tolerates drought, heat, cold, and limestone soils; bit slow to establish and resume growth if transplanted as a large specimen; powdery mildew can be an occasional problem.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Escarpment Live Oak,6,Quercus fusiformis (Quercus virginiana var. fusiformis),sun,10,"Escarpment Live Oak can be thought of as a smaller version of Live Oak (Quercus virginiana). Quercus fusiformis is more drought, high pH soil, and cold tolerant than Quercus virginiana. In large portions of Central Texas, the live oak populations are intergressive hybrids between Q. fusiformis and Q. virginiana.","Small tree, medium tree","Green, males in catkins",Spring,Elongated acorn,330,390,10,Outstanding shade tree for Central and West Texas; beware of susceptibility to oak wilt fungus.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Southern Red Oak,6,Quercus falcata,sun,10,"Southern Red Oak is a large deciduous tree of the Southeastern US forests. Its large size makes it more suitable to park and naturalized landscapes, rather than small suburban lots. It has handsome lustrous olive green leaves and produces large quantities of acorns for wildlife.","Medium tree, large tree","Green to yellowish green, monoecious, females inconspicuous, males in catkins",Spring,"0.5 inch rounded acorn, pubescent and striated, orange-brown to red-brown in color",840,600,10,Susceptible to oak wilt. Fast growing for an oak and readily transplanted.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Camphor Tree,6,Cinnamomum camphora,"sun, partial sun",10,Camphor Tree is a medium to large evergreen shade tree used in subtropcial to tropical climates. It is common along the Gulf Coast and Lower Rio Grande Valley. This tree resembles a Live Oak in growth habit with handsome glossy green camphor scented leaves. It can become weedy on favorable sites. In colder areas it may persist as a dieback shrub.,"Medium tree, large tree","Yellow-green, not ornamental","Spring, summer",Pea-sided shiny black berries,480,270,8,Either a handsome shade tree or an invasive trash tree depending upon your perspective and location.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Red Oak,6,Quercus buckleyi (Quercus texana),sun,10,"Texas Red Oak is a medium size decidous tree that is a western counterpart to the Shumard Oak. Texas Red Oaks have smaller leaves and are smaller trees than Shumard Oaks, but are generally more drought and high pH soil tolerant. This is a handsome shade, park and street tree for Central and West Texas. Good for smaller suburban lawns. May develop a good red fall color.",Medium tree,"Green to yellowish green, monoecious, females inconspicuous, males in catkins",Spring,Acorns,480,480,10,Single or multi-stems in the wild. Needs well drained soils.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
American Holly,6,Ilex opaca,"sun, partial sun",10,"Largest of the evergreen hollies generally used in Texas landscapes. Native to the Eastern USA, this is one of the most cold tolerant of the evergreen hollies, hardy into USDA zone 5 with protection. The foliage of the species is an attractive, but duller green than some of the improved cultivars. The form is pyramidal in youth, broadening to an oval with age.","Shrub, large shrub, tree, small tree, medium tree","Light green, inconspicous",Spring,Dull red or yellow berries are a major fall / winter asset,167,210,6,"Generally a tough holly, but tends to suffer in our South Texas heat and high pH soils. Holly leaf miners (Phytomyza ilicicola) can disfigure the foliage.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Sawtooth Oak,6,Quercus acutissima,sun,10,"Sawtooth Oak is a medium to large deciduous shade tree from Asia. Dead leaves are retained into late fall or early winter, particularly on juvenile plants. Summer foliage is a dark glossy green and growth is rapid for an oak. The seed propagated cultivar 'Gobbler' is a prolific acorn producer used for mast production. This species is increasing in popularity in the nursery trade.","Medium tree, large tree","Green to yellow green, females inconspicuous, males in catkins",Spring,Small 0.5 to 1.0 in acorn enclosed two-thirds in a cap with recurved scales,480,420,8,Marginal in USDA zone 5. Trees are floopy growers in youth requiring training to acheive a good tree form. Prone to iron chlorosis on neutral to alkaline soils. Rapid grower for an oak.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Possumhaw,6,Ilex decidua,"sun, partial sun, shade",10,"Possumhaw is a large shrub or small tree  frequently encountered in or near seasonally wet areas in Central and East Texas (also much of Eastern USA). While this deciduous holly is fairly nondescript in summer, female plants can become a blaze of color in the fall and winter landscape. The red, orange, or yellow fruit can be a star of a bleak winter scene. Purchase a named clone or select females when in fruit. Good as a winter specimen, shrub border, winter patio plant, or for naturalizing.","Shrub, large shrub, tree, small tree","Yellow-green, not ornamental",Spring,"On female plants, outstanding red, orange, yellow-orange, or pale yellow, effective throughout fall and winter",54,96,7,"Can tolerate heavy clay soils or ones that are slightly alkaline, but is not as vigorous as on more favorable sites. Frequently located on sites with seasonal flooding.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinese Holly,6,Ilex cornuta,"sun, partial sun",10,"Ilex cornuta is seldom represented in the trade by the species type, but rather by several of the popular cultivars. Burford, Dwarf Burford, Needlepoint, and Rotundiloba Hollies are all cultivars of Ilex cornuta. The species is valued for its dense dark glossy green foliage and red berries on female clones.","Shrub, medium shrub, large shrub, topiary","Light green, inconsipicuous.",Spring,"Bright red berries are a primary fall / winter feature on many cultivars, sometimes yellow",48,120,7,"While the foliage characters alone are reason to plant Ilex cornuta, it is one of the most heat, drought, salt and alkaline soil tolerant large-leaved, evergreen hollies available. Cold hardiness is marginal in USDA zone 7 for some cultivars.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Rose Moss or Moss Rose,6,Portulaca grandiflora,"sun, partial sun",10,"Rose Moss is an old fashioned summer annual that has undergone extensive breeding work in recent years to produce double flower forms, broaden the color range of flowers, and to extend the opening of flowers into the afternoon. The low growing succulent foliage and riot of delicate colorful disk-shaped flowers make this a favorite for summer bedding and detail work as well as in hanging baskets. Can be used as a seasonal groundcover, but purslane (Portulaca oleracea) is more effective for this purpose.","Transition season annual, warm season annual, groundcover",Any color of the rainbow except blue,"Spring, summer, fall",Small barely noticeable capsule,8,15,None,"Good sun tolerant annual, over watering or water logged soils rot the roots.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Turk's Cap,6,Malvaviscus arboreus var. drummondii,"sun, partial sun, shade",10,"An outstanding native Texas herbaceous perennial. Spreads from root suckers and seeds; dark green lobed red maple like leaves; 1 inch long upright red flowers; adaptable to sun or shade, best in partial shade. Excellent in naturalized landscapes, shaded understories, tall groundcover, hummingbird plant.","Perennial, groundcover, small shrub","Red, twisted mallow-like flower, resembles a turk's turbin","Spring, summer, fall","Red berry-like, good wildlife food",66,15,9,Can be used as an annual in cooler climates; foliage can become distorted (puckered) in full sun.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Wintercreeper Euonymus,6,Euonymus fortunei,"partial sun, shade",10,"Wintercreeper Euonymus can serve as a climbing (aerial rootlets) vine, but is more commonly utilized as a sprawling groundcover. Various cultivars are available, many with purplish winter coloration ('Coloratus') or variegated foliage. A few cultivars are from sexually mature plant forms and are more shrubby. Useful as a groundcover in part to moderately shady locations in Texas.","Perennial, groundcover, vine","Not ornamental, seldom seen on most cultivars",Summer,"Red-orange aril covered a whitish tan leathery capsule, seen only on sexually mature clones",9,0,9,"Useful in full sun in cooler climates; subject to infestation by crown gall, euonymus scale, aphids, and anthracnose.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Carolina Jessamine,6,Gelsemium sempervirens,"partial sun, shade",10,Carolina Jessamine is a Texas native evergreen twining vine with outstanding winter to early spring flowers. The bright yellow flowers contrast well with the fine textured dark glossy green leaves.,Vine,"Bright yellow, effective in bud as well as in bloom","Spring, fall, winter","Capsule, not ornamental",0,0,8,"Can be somewhat tempermental in establishment; in the right location very durable, sometimes dies for no apparent reason in other locations.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Golden Bamboo,6,Phyllostachys aurea,"sun, partial sun, shade",10,Golden Bamboo is perhaps the most widely encountered of the running (spreading) bamboos. Stems (culms) are yellow and can reach a 2 inch diameter and 15 ft height. Bamboos add a decided oriental or tropical effect to landscapes. The running bamboos can be very invasive.,"Large shrub, tropical","Not ornamental, signal death of the above ground plant portions","Spring, summer","Not ornamental, infrequently observed",67,0,6,"Down-right tough once established, difficult to kill. Plant where rhizomes can be restrained. Culms make great fishing poles. Roots are hardy in USDA zone 7, but the foliage can frequently be damaged.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Evening Primrose,6,Oenothera speciosa,"sun, partial sun",10,"Evening Primrose is a native Texas perennial wildflower that has found popularity as a garden perennial. The loose open foliage and pale to dark pink cup-shaped flowers offer handsome spring color. Plants can be naturalized, used in informal borders, or rock gardens.",Perennial,Pale pink to dark pink,Spring,"Capsule, allow to mature if reseeding / naturalizing is desired",15,18,7,"Tolerates dry sites and calcareous soils, but goes dormant in summer. May remain active all summer in cooler climates.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinese Photinia,6,Photinia serratifolia   (Photinia serrulata),"sun, partial sun",10,"Chinese Photinia is a large old-fashioned evergreen shrub or small tree that is finding revived popularity in Texas landscapes. Dark glossy green coarse textured foliage, creamy white spring flowers, and clusters of small red pomes attractive from late summer to winter are the primary assets. Even larger statured than Photinia x fraseri which limits its usefulness on small lots. Flowers are considered malodorous by some people.","Shrub, large shrub, tree, small tree",Creamy white,Spring,Clusters fo red-like berries,210,150,8,"Very site adaptable and has escaped cultivation in some Texas locales. Chinese Photinia is cotton root rot and powdery mildew susceptible, but is more resistant to Entomosporum leaf spot than Photinia x fraseri.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Canary Island Date Palm,6,Phoenix canariensis,sun,10,"Canary Island Date Palms are medium to large feather palms that are widely planted along the Texas Gulf Coast. Phoenix canariensis is more massive of trunk than the true Date Palm (Phoenix dactylifera), growing slowly to 60 tall. Requires even more room for crown spread than the Jelly Palm (Butia capitata).","Medium tree, large tree, tropical","Yellow, not particularly ornamental","Spring, summer","0.75 inch long date-like, edible but not palatable",240,210,8,"Tough durable palm limited primarily by cold tolerance to USDA zones 8b or 9a and warmer. Also, both P. canariensis and P. dactylifera are susecptible to lethal yellows. Bud rots and palmetto weevils can also cause problems.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Split-Leaf Philodendron,6,Philodendron selloum,"partial sun, shade",10,"Split-Leaf Philodendron offers a bold coarse textured lush tropical look to the landscape. Large lobed leaves, sometimes with whole-like patches, are a dark lustrous green have blades that range from 1 ft to 3 ft long. Petioles, which can be up to 4 ft in length, originate on a thick stout seldom branched woody stalks. Stalks bear large prominent leaf scars. These coarse textured plants can serve as massed shrubs or specimens in shaded to partly shady locations.","Shrub, small shrub, medium shrub, tropical, interiorscape","Green to red-purple spathe, grown for foliage not flower.","Spring, summer",Not ornamental.,54,54,8,"Dasheen mosaic, mealybugs, scale, and spider mites are the main pests. Plants are marginally cold hardy in USDA zone 8, requiring protected sites.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Sweet Mock Orange,6,Philadelphus coronarius,"sun, partial sun",10,Sweet Mock Orange is a medium to large deciduous shrub with four-petal white flowers and yellow stamens. These irregular oval to rounded shrubs are very showy in flower. Plants tend to sucker some at the base.,"Shrub, medium shrub, large shrub",Four-petal white flowers with yellow stamens.,Spring,Four-valve dehiscent capsule.,84,84,9,Peforms bestin well drained rich soils and it is cotton root rot resistant.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
